! Fluent convergence residual report
! Case: limestone_contactor_v3.cas
! Date: 2024-11-15
! Steady-state solver, 3 species (CO2, Ca2+, HCO3-), porous media
!
iter   continuity   x-velocity   y-velocity   z-velocity   co2          ca2plus      hco3minus
   1   1.0000e+00   1.0000e+00   1.0000e+00   1.0000e+00   1.0000e+00   1.0000e+00   1.0000e+00
   5   8.2341e-01   6.4521e-01   6.1234e-01   5.9821e-01   7.8234e-01   7.5621e-01   7.9012e-01
  10   5.6234e-01   4.1234e-01   3.9876e-01   3.8234e-01   5.4321e-01   5.2341e-01   5.5123e-01
  20   3.1234e-01   2.2341e-01   2.1234e-01   2.0123e-01   3.2341e-01   3.1234e-01   3.3012e-01
  30   1.8234e-01   1.2341e-01   1.1234e-01   1.0912e-01   1.9234e-01   1.8341e-01   1.9812e-01
  40   1.0234e-01   6.5234e-02   6.2341e-02   5.9812e-02   1.1234e-01   1.0812e-01   1.1512e-01
  50   5.8234e-02   3.4521e-02   3.2341e-02   3.0912e-02   6.8234e-02   6.5821e-02   7.0123e-02
  60   3.2341e-02   1.8234e-02   1.7341e-02   1.6512e-02   4.1234e-02   3.9821e-02   4.2341e-02
  70   1.8234e-02   9.8234e-03   9.2341e-03   8.8123e-03   2.5341e-02   2.4521e-02   2.6012e-02
  80   1.0234e-02   5.2341e-03   4.9821e-03   4.7234e-03   1.5834e-02   1.5234e-02   1.6123e-02
  90   5.8234e-03   2.8234e-03   2.6512e-03   2.5123e-03   9.8234e-03   9.4521e-03   1.0012e-02
 100   3.2341e-03   1.5234e-03   1.4512e-03   1.3812e-03   6.1234e-03   5.8823e-03   6.2521e-03
 120   1.0234e-03   4.8234e-04   4.5821e-04   4.3412e-04   2.8234e-03   2.7121e-03   2.9012e-03
 140   3.4521e-04   1.5234e-04   1.4512e-04   1.3821e-04   1.2341e-03   1.1921e-03   1.2712e-03
 160   1.1234e-04   4.8234e-05   4.5912e-05   4.3512e-05   5.8234e-04   5.6021e-04   5.9812e-04
 180   3.7234e-05   1.5234e-05   1.4812e-05   1.3912e-05   3.1234e-04   3.0121e-04   3.2012e-04
 200   1.2341e-05   4.8234e-06   4.5912e-06   4.3512e-06   1.8234e-04   1.7621e-04   1.8912e-04
 220   4.1234e-06   1.5234e-06   1.4912e-06   1.3812e-06   1.2341e-04   1.1921e-04   1.2612e-04
 240   1.3812e-06   5.0234e-07   4.7912e-07   4.5412e-07   1.1012e-04   1.0612e-04   1.1312e-04
 260   4.6234e-07   1.6821e-07   1.6012e-07   1.5212e-07   1.0523e-04   1.0182e-04   1.0812e-04
 280   1.5412e-07   5.6234e-08   5.3421e-08   5.0912e-08   1.0234e-04   9.9812e-05   1.0512e-04
 300   5.1234e-08   1.8821e-08   1.7912e-08   1.7012e-08   1.0123e-04   9.9021e-05   1.0312e-04
 320   1.7234e-08   6.2821e-09   5.9912e-09   5.7012e-09   1.0089e-04   9.8821e-05   1.0289e-04
 340   5.7812e-09   2.1034e-09   2.0012e-09   1.9112e-09   1.0078e-04   9.8712e-05   1.0278e-04
 360   1.9234e-09   7.0234e-10   6.7012e-10   6.3812e-10   1.0071e-04   9.8634e-05   1.0271e-04
 380   6.4234e-10   2.3412e-10   2.2312e-10   2.1212e-10   1.0068e-04   9.8612e-05   1.0268e-04
 400   2.1512e-10   7.8234e-11   7.4512e-11   7.0912e-11   1.0067e-04   9.8608e-05   1.0267e-04
 420   7.1834e-11   2.6123e-11   2.4912e-11   2.3712e-11   1.0066e-04   9.8603e-05   1.0266e-04
 440   2.4012e-11   8.7234e-12   8.3012e-12   7.9012e-12   1.0066e-04   9.8601e-05   1.0266e-04
 460   8.0234e-12   2.9121e-12   2.7712e-12   2.6412e-12   1.0066e-04   9.8600e-05   1.0266e-04
 480   2.6812e-12   9.7234e-13   9.2512e-13   8.8012e-13   1.0066e-04   9.8600e-05   1.0266e-04
 500   8.9534e-13   3.2523e-13   3.0912e-13   2.9412e-13   1.0066e-04   9.8600e-05   1.0266e-04
 520   2.9912e-13   1.0823e-13   1.0312e-13   9.8012e-14   1.0066e-04   9.8600e-05   1.0266e-04
 540   1.0012e-13   3.6123e-14   3.4412e-14   3.2712e-14   1.0066e-04   9.8600e-05   1.0266e-04
 560   3.3412e-14   1.2023e-14   1.1412e-14   1.0912e-14   1.0066e-04   9.8600e-05   1.0266e-04
 580   1.1212e-14   4.0123e-15   3.8012e-15   3.6212e-15   1.0066e-04   9.8599e-05   1.0266e-04
 600   3.7412e-15   1.3423e-15   1.2712e-15   1.2112e-15   1.0066e-04   9.8599e-05   1.0266e-04
